Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/200,9,0,27,34.47515977777793,25.146907999999968,90.24811300000013,27012.0,1.0783259958052713,0.0,27,29,30,31,90,90,90,90,90,90,90
,Aggregated,9,0,27,34.47515977777793,25.146907999999968,90.24811300000013,27012.0,1.0783259958052713,0.0,27,29,30,31,90,90,90,90,90,90,90
